,Fecha,Rango_edad,Casos,Hospitalizados,Ingresos_uci,Fallecidos,Casos nuevos14,Casos nuevos7,Casos nuevos,Población,IA 7 días,IA 14 días
126,2020-03-14,0 a 9,0,0,0,0,0.0,0.0,0,46913,0.0,0.0
127,2020-03-14,10 a 19,2,2,0,0,1.0,1.0,0,55828,1.7912158773375368,1.7912158773375368
128,2020-03-14,20 a 29,5,4,0,0,5.0,2.0,0,50505,3.96000396000396,9.9000099000099
129,2020-03-14,30 a 39,12,2,0,0,12.0,9.0,6,70473,12.770848410029373,17.027797880039163
130,2020-03-14,40 a 49,10,2,1,0,10.0,5.0,1,97769,5.114095469934233,10.228190939868465
131,2020-03-14,50 a 59,5,0,0,0,5.0,5.0,2,89964,5.557778667022364,5.557778667022364
132,2020-03-14,60 a 69,12,7,3,0,12.0,12.0,6,77345,15.514900769280496,15.514900769280496
133,2020-03-14,70 a 79,1,1,0,0,1.0,1.0,1,53066,1.8844457844947802,1.8844457844947802
134,2020-03-14,Mayor de 80,2,2,0,0,2.0,2.0,1,41042,4.873056868573657,4.873056868573657
135,2020-03-15,0 a 9,0,0,0,0,0.0,0.0,0,46913,0.0,0.0
136,2020-03-15,10 a 19,3,2,0,0,2.0,2.0,1,55828,3.5824317546750737,3.5824317546750737
137,2020-03-15,20 a 29,7,4,0,0,7.0,4.0,2,50505,7.92000792000792,13.86001386001386
138,2020-03-15,30 a 39,13,2,0,0,13.0,10.0,1,70473,14.189831566699304,18.446781036709094
139,2020-03-15,40 a 49,11,3,2,0,11.0,6.0,1,97769,6.136914563921079,11.251010033855312
140,2020-03-15,50 a 59,5,0,0,0,5.0,5.0,0,89964,5.557778667022364,5.557778667022364
141,2020-03-15,60 a 69,14,8,3,0,14.0,14.0,2,77345,18.10071756416058,18.10071756416058
142,2020-03-15,70 a 79,3,2,0,0,3.0,3.0,2,53066,5.653337353484341,5.653337353484341
143,2020-03-15,Mayor de 80,2,2,0,0,2.0,2.0,0,41042,4.873056868573657,4.873056868573657
144,2020-03-16,0 a 9,0,0,0,0,0.0,0.0,0,46913,0.0,0.0
145,2020-03-16,10 a 19,3,2,0,0,2.0,2.0,0,55828,3.5824317546750737,3.5824317546750737
146,2020-03-16,20 a 29,7,4,0,0,4.0,4.0,0,50505,7.92000792000792,7.92000792000792
147,2020-03-16,30 a 39,13,2,0,0,11.0,10.0,0,70473,14.189831566699304,15.608814723369234
148,2020-03-16,40 a 49,11,3,2,0,7.0,6.0,0,97769,6.136914563921079,7.1597336579079265
149,2020-03-16,50 a 59,5,0,0,0,5.0,5.0,0,89964,5.557778667022364,5.557778667022364
150,2020-03-16,60 a 69,15,9,3,0,15.0,15.0,1,77345,19.39362596160062,19.39362596160062
151,2020-03-16,70 a 79,4,3,0,0,4.0,4.0,1,53066,7.537783137979121,7.537783137979121
152,2020-03-16,Mayor de 80,3,3,0,0,3.0,3.0,1,41042,7.3095853028604845,7.3095853028604845
