Fecha;Codigo;Municipio;Casos;Fallecidos;Casos Últimos 7d;Casos Últimos 14d;;
29/02/2020;39001;ALFOZ DE LLOREDO;0;0;;;;
29/02/2020;39002;AMPUERO;0;0;;;;
29/02/2020;39003;ANIEVAS;0;0;;;;
29/02/2020;39004;ARENAS DE IGUÑA;0;0;;;;
29/02/2020;39005;ARGOÑOS;0;0;;;;
29/02/2020;39006;ARNUERO;0;0;;;;
29/02/2020;39007;ARREDONDO;0;0;;;;
29/02/2020;39008;ASTILLERO (EL);0;0;;;;
29/02/2020;39009;BARCENA DE CICERO;0;0;;;;
29/02/2020;39010;BARCENA DE PIE DE CONCHA;0;0;;;;
29/02/2020;39011;BAREYO;0;0;;;;
29/02/2020;39012;CABEZON DE LA SAL;0;0;;;;
29/02/2020;39013;CABEZON DE LIEBANA;0;0;;;;
29/02/2020;39014;CABUERNIGA;0;0;;;;
29/02/2020;39015;CAMALEÑO;0;0;;;;
29/02/2020;39016;CAMARGO;0;0;;;;
29/02/2020;39017;CAMPOO DE YUSO;0;0;;;;
29/02/2020;39018;CARTES;0;0;;;;
29/02/2020;39019;CASTAÑEDA;0;0;;;;
29/02/2020;39020;CASTRO-URDIALES;0;0;;;;
29/02/2020;39021;CIEZA;0;0;;;;
29/02/2020;39022;CILLORIGO DE LIEBANA;0;0;;;;
29/02/2020;39023;COLINDRES;0;0;;;;
29/02/2020;39024;COMILLAS;0;0;;;;
29/02/2020;39025;CORRALES DE BUELNA (LOS);0;0;;;;
29/02/2020;39026;CORVERA DE TORANZO;0;0;;;;
29/02/2020;39027;CAMPOO DE ENMEDIO;0;0;;;;
29/02/2020;39028;ENTRAMBASAGUAS;0;0;;;;
29/02/2020;39029;ESCALANTE;0;0;;;;
29/02/2020;39030;GURIEZO;0;0;;;;
29/02/2020;39031;HAZAS DE CESTO;0;0;;;;
29/02/2020;39032;HERMANDAD DE CAMPOO DE SUSO;0;0;;;;
29/02/2020;39033;HERRERIAS;0;0;;;;
29/02/2020;39034;LAMASON;0;0;;;;
29/02/2020;39035;LAREDO;0;0;;;;
29/02/2020;39036;LIENDO;0;0;;;;
29/02/2020;39037;LIERGANES;0;0;;;;
29/02/2020;39038;LIMPIAS;0;0;;;;
29/02/2020;39039;LUENA;0;0;;;;
29/02/2020;39040;MARINA DE CUDEYO;0;0;;;;
29/02/2020;39041;MAZCUERRAS;0;0;;;;
29/02/2020;39042;MEDIO CUDEYO;0;0;;;;
29/02/2020;39043;MERUELO;0;0;;;;
29/02/2020;39044;MIENGO;0;0;;;;
29/02/2020;39045;MIERA;0;0;;;;
29/02/2020;39046;MOLLEDO;0;0;;;;
29/02/2020;39047;NOJA;0;0;;;;
29/02/2020;39048;PENAGOS;0;0;;;;
29/02/2020;39049;PEÑARRUBIA;0;0;;;;
29/02/2020;39050;PESAGUERO;0;0;;;;
29/02/2020;39051;PESQUERA;0;0;;;;
29/02/2020;39052;PIELAGOS;0;0;;;;
29/02/2020;39053;POLACIONES;0;0;;;;
29/02/2020;39054;POLANCO;0;0;;;;
29/02/2020;39055;POTES;0;0;;;;
29/02/2020;39056;PUENTE VIESGO;0;0;;;;
29/02/2020;39057;RAMALES DE LA VICTORIA;0;0;;;;
