Codigo,poblacion
39001,2437
39002,4368
39003,266
39004,1703
39005,1834
39006,2144
39007,470
39008,18116
39009,4399
39010,671
39011,2129
39012,8273
39013,580
39014,985
39015,956
39016,30497
39017,680
39018,5750
39019,3029
39020,32975
39021,548
39022,1299
39023,8504
39024,2117
39025,10703
39026,2054
39027,3692
39028,5357
39029,762
39030,2410
39031,1644
39032,1604
39033,589
39034,268
39035,10996
39036,1216
39037,2403
39038,1961
39039,623
39040,5186
39041,2080
39042,7606
39043,2174
39044,5059
39045,386
39046,1494
39047,2650
39048,2168
39049,318
39050,294
39051,82
39052,26035
39053,215
39054,5978
39055,1322
39056,2902
39057,2902
39058,971
39059,8810
39060,8382
39061,4629
39062,2382
39063,1042
39064,1645
39065,257
39066,1034
39067,826
39068,741
39069,2355
39070,148
39071,474
39072,337
39073,13292
39074,9205
39075,172221
39076,4231
39077,244
39078,1695
39079,11011
39080,4073
39081,519
39082,1854
39083,1153
39084,1048
39085,9026
39086,397
39087,51237
39088,59
39089,148
39090,930
39091,2157
39092,922
39093,316
39094,961
39095,2786
39096,718
39097,748
39098,1625
39099,3958
39100,1012
39101,276
39102,2789

