,index,OBJECTID_1,Codigo,Texto,Cod_Prov,Cod_CCAA,NumeroCasosActivos,NumeroCurados,NumeroFallecidos,NumeroCasos,Shape__Area,Shape__Length,poblacion,Tasa bruta de casos,Tasa bruta de activos,Tasa bruta de altas,Tasa bruta de fallecidos
0,0,1,39001,Alfoz de Lloredo,39,06,3,1,0,4,87706932.7509766,57243.0371287442,2416,165.56291390728478,124.17218543046359,41.390728476821195,0.0
1,1,2,39002,Ampuero,39,06,12,6,2,20,61142410.8905029,49769.678888604,4288,466.41791044776113,279.8507462686567,139.92537313432834,46.64179104477612
2,54,55,39003,Anievas,39,06,1,0,0,1,39355724.3649902,24826.8902583798,267,374.53183520599254,374.53183520599254,0.0,0.0
3,55,56,39004,Arenas de Iguña,39,06,0,0,0,0,163479544.362549,83243.6707695342,1679,0.0,0.0,0.0,0.0
4,56,57,39005,Argoños,39,06,0,0,0,0,10464797.2677002,14317.5859984522,1748,0.0,0.0,0.0,0.0
5,57,58,39006,Arnuero,39,06,1,1,0,2,46827090.6529541,39003.3013746888,2103,95.10223490252021,47.551117451260104,47.551117451260104,0.0
6,58,59,39007,Arredondo,39,06,0,0,0,0,88360855.8925781,43709.2229252464,452,0.0,0.0,0.0,0.0
7,2,3,39008,"Astillero, El",39,06,14,12,1,27,12932628.8286133,20245.9364857179,18111,149.08066920655955,77.30108773673459,66.25807520291535,5.521506266909613
8,3,4,39009,Bárcena de Cicero,39,06,9,3,1,13,69462224.1838379,41844.5000876035,4246,306.1705134243995,211.9642016015073,70.6547338671691,23.551577955723033
9,59,60,39010,Bárcena de Pie de Concha,39,06,0,0,0,0,57309841.4597168,43722.3552283474,678,0.0,0.0,0.0,0.0
10,4,5,39011,Bareyo,39,06,1,0,0,1,61614403.5150146,45523.707467492,1950,51.282051282051285,51.282051282051285,0.0,0.0
11,5,6,39012,Cabezón de la Sal,39,06,103,13,12,128,63408376.3205566,44435.1312151776,8301,1541.9828936272738,1240.814359715697,156.60763763402,144.56089627755694
12,60,61,39013,Cabezón de Liébana,39,06,0,0,0,0,152951516.61084,62293.1917017702,616,0.0,0.0,0.0,0.0
13,61,62,39014,Cabuérniga,39,06,19,0,1,20,162811343.704834,78554.1281119419,1000,2000.0,1900.0,0.0,100.0
14,62,63,39015,Camaleño,39,06,0,0,0,0,304107406.352783,80941.6683596548,936,0.0,0.0,0.0,0.0
15,6,7,39016,Camargo,39,06,28,19,3,50,69358823.9897461,46034.1634824711,30260,165.23463317911435,92.53139458030404,62.78916060806345,9.914077990746861
16,7,8,39017,Campoo de Yuso,39,06,3,0,0,3,167983711.141113,66567.3028070653,669,448.4304932735426,448.4304932735426,0.0,0.0
17,8,9,39018,Cartes,39,06,7,6,0,13,35918015.2692871,26443.9830155678,5747,226.2049765094832,121.80267965895248,104.40229685053072,0.0
18,9,10,39019,Castañeda,39,06,2,0,0,2,36312858.8056641,27153.6153240794,2914,68.63417982155113,68.63417982155113,0.0,0.0
19,10,11,39020,Castro-Urdiales,39,06,81,9,19,109,182995900.980713,90899.0652754115,32069,339.892107642895,252.58037356949077,28.06448595216564,59.247248121238584
20,63,64,39021,Cieza,39,06,0,0,0,0,83039057.6794434,44276.3742302842,538,0.0,0.0,0.0,0.0
21,64,65,39022,Cillorigo de Liébana,39,06,1,0,0,1,196869920.56543,79531.9981218137,1305,76.62835249042146,76.62835249042146,0.0,0.0
22,11,12,39023,Colindres,39,06,13,7,2,22,11245042.0826416,18890.4964113313,8484,259.3116454502593,153.22960867515323,82.50825082508251,23.573785950023574
23,12,13,39024,Comillas,39,06,2,2,0,4,35209743.4055176,33435.5845175062,2141,186.82858477347034,93.41429238673517,93.41429238673517,0.0
24,13,14,39025,"Corrales de Buelna, Los",39,06,22,11,2,35,85601021.7946777,45726.2053729984,10841,322.8484457153399,202.93330873535652,101.46665436767826,18.44848261230514
25,14,15,39026,Corvera de Toranzo,39,06,3,3,1,7,93192764.244873,52867.3643354905,2039,343.3055419323198,147.13094654242278,147.13094654242278,49.04364884747425
26,15,16,39027,Campoo de Enmedio,39,06,6,1,1,8,170280951.002686,85263.4319072716,3714,215.4011847065159,161.55088852988692,26.925148088314486,26.925148088314486
27,16,17,39028,Entrambasaguas,39,06,2,2,1,5,81708652.9967041,48949.8030184134,5163,96.84292078249081,38.73716831299632,38.73716831299632,19.36858415649816
28,65,66,39029,Escalante,39,06,1,1,0,2,35994648.2983398,30828.4299008203,779,256.73940949935815,128.36970474967907,128.36970474967907,0.0
29,66,67,39030,Guriezo,39,06,0,0,0,0,150262604.43689,60661.8053433912,2354,0.0,0.0,0.0,0.0
30,67,68,39031,Hazas de Cesto,39,06,1,0,0,1,41489120.0460205,32369.7251955913,1569,63.73486297004461,63.73486297004461,0.0,0.0
31,17,18,39032,Hermandad de Campoo de Suso,39,06,1,1,1,3,416795941.905518,105060.779156182,1603,187.14909544603867,62.38303181534623,62.38303181534623,62.38303181534623
32,68,69,39033,Herrerías,39,06,1,0,0,1,76222964.755127,37721.7584598937,605,165.2892561983471,165.2892561983471,0.0,0.0
33,69,70,39034,Lamasón,39,06,0,0,0,0,134231778.657959,53131.6704130549,272,0.0,0.0,0.0,0.0
34,18,19,39035,Laredo,39,06,48,6,3,57,29773147.260498,40907.1879691256,11025,517.0068027210884,435.3741496598639,54.42176870748299,27.210884353741495
35,70,71,39036,Liendo,39,06,0,0,0,0,49180759.7923584,30755.8647567562,1204,0.0,0.0,0.0,0.0
36,19,20,39037,Liérganes,39,06,1,3,0,4,69466879.2250977,43423.3856604162,2379,168.13787305590586,42.034468263976464,126.10340479192938,0.0
37,20,21,39038,Limpias,39,06,21,5,7,33,19061301.1968994,27887.4411830232,1879,1756.2533262373604,1117.6157530601383,266.09898882384243,372.53858435337946
38,71,72,39039,Luena,39,06,0,0,0,0,169937754.036621,70431.6035088987,593,0.0,0.0,0.0,0.0
39,21,22,39040,Marina de Cudeyo,39,06,4,2,1,7,53792667.9660645,48477.0791773896,5125,136.58536585365852,78.04878048780488,39.02439024390244,19.51219512195122
40,22,23,39041,Mazcuerras,39,06,3,5,1,9,105073718.680664,48201.4842259174,2105,427.55344418052255,142.51781472684087,237.52969121140143,47.50593824228029
